originalTitle,world_revenue,distributor,opening_theaters,budget,MPAA,release_days,startYear,runtimeMinutes,genres_y,averageRating,numVotes,ordering,category,primaryName
The Last Black Man in San Francisco,4637830,A24,7.0,4637830.0,R,208,2019,121.0,Drama,7.3,20047,9,writer,Prentice Sanders
Tolkien,9090040,Fox Searchlight,1495.0,9090040.0,PG-13,236,2019,112.0,"Biography,Drama,Romance",6.8,42241,9,producer,David Ready
Pavarotti,8083942,CBS Films,19.0,8083942.0,PG-13,208,2019,114.0,"Biography,Documentary,Music",7.5,3588,9,producer,Brian Grazer
Bring the Soul: The Movie,11641119,Trafalgar Releasing,873.0,12077774.0,R,147,2019,103.0,"Documentary,Music",8.3,2436,9,actor,BTS
The Mustang,6405816,Focus Features,4.0,6405816.0,R,292,2019,96.0,Drama,6.8,13101,9,producer,Alain Goldman
Don't Let Go,5288011,OTL Releasing,922.0,5000000.0,R,124,2019,103.0,"Drama,Horror,Mystery",6.3,11375,9,composer,Ethan Gold
The Sun Is Also a Star,6750029,Warner Bros.,2073.0,6750029.0,PG-13,229,2019,100.0,"Drama,Music,Romance",5.9,7617,9,producer,Leslie Morgenstein
Gully Boy,28299498,Viva Pictures,258.0,28299498.0,R,321,2019,154.0,"Drama,Music,Romance",7.9,40586,9,producer,Hetvi Karia
Gloria Bell,11145006,A24,5.0,11145006.0,R,299,2018,102.0,"Comedy,Drama,Music",6.3,12095,9,producer,Pablo Larraín
Captive State,8808611,Focus Features,2548.0,8808611.0,PG-13,292,2019,109.0,"Action,Horror,Sci-Fi",6.0,55090,9,cinematographer,Alex Disenhof
Jexi,9341824,Lionsgate,2332.0,9341824.0,R,84,2019,84.0,"Comedy,Romance,Sci-Fi",6.0,28627,9,composer,Philip White
Run the Race,6424420,Roadside Attractions,853.0,6424420.0,PG,313,2018,101.0,"Drama,Sport",5.9,1594,9,producer,Darren Moorman
The Dead Don't Die,15325468,Focus Features,613.0,15325468.0,R,201,2019,104.0,"Comedy,Fantasy,Horror",5.4,80281,9,cinematographer,Frederick Elmes
The Goldfinch,9932621,Warner Bros.,2542.0,45000000.0,R,110,2019,149.0,Drama,6.4,24330,9,producer,Brad Simpson
Free Solo,29390279,National Geographic Entertainment,4.0,29390279.0,PG-13,460,2018,100.0,"Adventure,Documentary,Sport",8.1,70252,9,cinematographer,Clair Popkin
Mary Queen of Scots,46712809,Focus Features,4.0,46712809.0,R,390,2018,124.0,"Biography,Drama,History",6.3,51803,9,producer,Eric Fellner
Brittany Runs a Marathon,7442106,Amazon Studios,5.0,7442106.0,R,133,2019,104.0,"Comedy,Drama",6.8,20712,9,composer,Duncan Thum
Stan & Ollie,24420923,Sony Pictures Classics,5.0,24420923.0,PG,369,2018,98.0,"Biography,Comedy,Drama",7.2,38117,9,composer,Rolfe Kent
Penguins,7699452,Walt Disney Studios Motion Pictures,1815.0,7699452.0,G,259,2019,76.0,"Documentary,Family",7.1,1733,9,cinematographer,Sophie Darlington
Anna,31626978,Lionsgate,2114.0,31626978.0,R,194,2019,118.0,"Action,Thriller",6.6,84845,9,editor,Julien Rey
Serenity,14454622,Aviron Pictures,2561.0,40445129.0,R,341,2019,106.0,"Drama,Mystery,Thriller",5.4,42276,9,cinematographer,Jess Hall
Motherless Brooklyn,18477736,Warner Bros.,1342.0,26000000.0,R,63,2019,144.0,"Crime,Drama,Mystery",6.8,58838,9,producer,Rachel Shane
Holmes & Watson,40466970,Sony Pictures Entertainment (SPE),2776.0,42000000.0,PG-13,372,2018,90.0,"Comedy,Crime,Mystery",3.9,37380,9,producer,Clayton Townsend
"Where'd You Go, Bernadette",11025353,United Artists Releasing,2404.0,11025353.0,PG-13,138,2019,109.0,"Comedy,Drama",6.5,22717,9,producer,Nina Jacobson
The Best of Enemies,10209813,STX Entertainment,1705.0,10000000.0,PG-13,271,2019,133.0,"Biography,Drama,History",7.3,17656,9,producer,Tobey Maguire
Black Christmas,18529730,Universal Pictures,2625.0,5000000.0,PG-13,385,2021,54.0,"Horror,Mystery,Thriller",3.2,25,4,actor,Michael George
Greta,18653107,Focus Features,2411.0,18653107.0,R,308,2018,98.0,"Drama,Mystery,Thriller",6.0,34877,9,producer,Sidney Kimmel
Apollo 11,15342353,Neon,120.0,15342353.0,G,306,2019,93.0,"Documentary,History",8.1,25923,9,cinematographer,Bob Bird
Dark Waters,23108017,Focus Features,4.0,23108017.0,PG-13,406,2019,126.0,"Biography,Drama,History",7.6,90766,9,producer,Pamela Koffler
Hotel Mumbai,21314816,Bleecker Street Media,4.0,21315827.0,R,285,2018,123.0,"Action,Drama,History",7.6,65623,9,producer,Basil Iwanyk
The Lighthouse,18129854,A24,8.0,18129854.0,R,441,2019,109.0,"Comedy,Drama,Fantasy",7.4,222205,9,producer,Rodrigo Teixeira
Blinded by the Light,18096691,Warner Bros.,2307.0,18096691.0,PG-13,138,2019,118.0,"Comedy,Drama,Music",6.9,25634,9,producer,Jane Barclay
After,69497587,Aviron Pictures,2138.0,14000000.0,PG-13,264,2019,105.0,"Drama,Romance",5.3,57426,9,writer,Anna Todd
The Kitchen,15980032,Warner Bros.,2745.0,38000000.0,R,145,2019,102.0,"Action,Crime,Drama",5.6,21703,9,producer,Marcus Viscidi
Poms,16418218,STX Entertainment,2750.0,16418218.0,PG-13,236,2019,90.0,"Comedy,Drama,Sport",6.1,6552,9,producer,Celyn Jones
They Shall Not Grow Old,20502132,Warner Bros.,0.0,20502132.0,R,380,2018,47.0,"Biography,Documentary,History",7.9,66,2,director,Paul Wheatcroft
The Prodigy,21127789,Orion Pictures,2530.0,6000000.0,R,327,2019,92.0,"Fantasy,Horror,Mystery",5.9,27025,9,cinematographer,Bridger Nielson
A Star Is Born,436188866,Warner Bros.,3686.0,36000000.0,R,453,2018,136.0,"Drama,Music,Romance",7.6,389403,9,writer,Joan Didion
If Beale Street Could Talk,20596567,Annapurna Pictures,4.0,20596567.0,R,383,2018,119.0,"Drama,Romance",7.1,49790,9,producer,Sara Murphy
Miss Bala,15383580,Sony Pictures Entertainment (SPE),2203.0,15000000.0,PG-13,334,2019,104.0,"Action,Crime,Drama",5.8,11763,9,composer,Alex Heffes
The Kid Who Would Be King,32140970,Twentieth Century Fox,3521.0,32140970.0,PG,341,2019,120.0,"Action,Adventure,Family",6.1,17428,9,composer,Damon Albarn
Second Act,72282227,STX Entertainment,2607.0,16000000.0,PG-13,376,2018,103.0,"Comedy,Drama,Romance",5.8,28320,9,composer,Michael Andrews
The Good Liar,33856058,Warner Bros.,2439.0,10000000.0,R,413,2019,109.0,"Crime,Drama,Mystery",6.7,43434,9,composer,Carter Burwell
Brightburn,33224654,Screen Gems,2607.0,6000000.0,R,222,2019,90.0,"Drama,Horror,Mystery",6.1,100188,9,producer,Kenneth Huang
Missing Link,26565710,United Artists Releasing,3413.0,26565710.0,PG,264,2019,93.0,"Adventure,Animation,Comedy",6.7,26966,9,composer,Carter Burwell
Late Night,22386555,Amazon Studios,4.0,22386555.0,R,208,2019,102.0,"Comedy,Drama",6.5,38676,9,composer,Lesley Barber
The Farewell,23076657,A24,4.0,23076657.0,PG,175,2019,100.0,"Comedy,Drama",7.5,65965,9,producer,Peter Saraf
Charlie's Angels,73279888,Sony Pictures Entertainment (SPE),3452.0,48000000.0,PG-13,413,2019,118.0,"Action,Adventure,Comedy",4.9,75017,9,producer,Doug Belgrad
Richard Jewell,44655962,Warner Bros.,2502.0,45000000.0,R,385,2019,131.0,"Biography,Crime,Drama",7.5,89590,9,writer,Kevin Salwen
Bombshell,61404394,Lionsgate,4.0,32000000.0,R,385,2019,109.0,"Biography,Drama",6.8,117430,9,producer,Robert Graf
The Favourite,95918706,Fox Searchlight,4.0,95918706.0,R,404,2018,119.0,"Biography,Comedy,Drama",7.5,203754,9,producer,Ed Guiney
Cats,75558925,Universal Pictures,3380.0,95000000.0,PG,378,2019,110.0,"Comedy,Drama,Family",2.8,52420,9,producer,Tim Bevan
UglyDolls,32450241,STX Entertainment,3652.0,32450241.0,PG,243,2019,87.0,"Adventure,Animation,Comedy",5.1,7089,9,writer,Sun-Min Kim
Unplanned,21515607,Pure Flix Entertainment,1059.0,6000000.0,R,278,2019,109.0,"Biography,Drama",5.5,14147,9,producer,Joe Knopp
Shaft,21360215,Warner Bros.,2952.0,35000000.0,R,201,2019,111.0,"Action,Comedy,Crime",6.4,54836,9,producer,John Davis
Jojo Rabbit,90335025,Fox Searchlight,5.0,14000000.0,PG-13,441,2019,108.0,"Comedy,Drama,War",7.9,396444,9,cinematographer,Mihai Malaimare Jr.
The Peanut Butter Falcon,23712090,Roadside Attractions,17.0,6200000.0,PG-13,147,2019,97.0,"Adventure,Comedy,Drama",7.6,92435,9,producer,Lije Sarki
Hellboy,55064690,Lionsgate,3303.0,50000000.0,R,264,2019,120.0,"Action,Adventure,Fantasy",5.2,92149,9,producer,Carl Hampe
Black and Blue,22741061,Screen Gems,2062.0,12000000.0,R,434,2019,108.0,"Action,Thriller",6.4,24557,9,cinematographer,Dante Spinotti
Stuber,32390945,Twentieth Century Fox,3050.0,16000000.0,R,173,2019,93.0,"Action,Comedy,Crime",6.2,48506,9,composer,Joseph Trapanese
47 Meters Down: Uncaged,47582563,Entertainment Studios Motion Pictures,2853.0,12000000.0,PG-13,140,2019,90.0,"Adventure,Drama,Horror",5.0,27250,9,producer,Mark Lane
Booksmart,24959607,United Artists Releasing,2505.0,6000000.0,R,222,2019,102.0,Comedy,7.1,121776,9,writer,Katie Silberman
A Dog's Journey,78870908,Universal Pictures,3267.0,16000000.0,PG,231,2019,109.0,"Adventure,Comedy,Drama",7.4,25751,9,writer,Wallace Wolodarsky
On the Basis of Sex,38673750,Focus Features,33.0,38755900.0,PG-13,372,2018,120.0,"Biography,Drama",7.1,35297,9,composer,Mychael Danna
Fighting with My Family,41503392,Metro-Goldwyn-Mayer (MGM),4.0,11000000.0,PG-13,321,2019,108.0,"Biography,Comedy,Drama",7.1,82826,9,composer,Vik Sharma
Ralph Breaks the Internet,529323962,Walt Disney Studios Motion Pictures,4017.0,175000000.0,PG,406,2018,112.0,"Adventure,Animation,Comedy",7.0,164807,9,writer,Josie Trinidad
Countdown,48021766,STX Entertainment,2675.0,6500000.0,PG-13,434,2019,90.0,"Horror,Thriller",5.4,39997,9,producer,Zack Schiller
Judy,45701880,Roadside Attractions,461.0,45987812.0,PG-13,462,2019,118.0,"Biography,Drama,Romance",6.8,51702,9,composer,Gabriel Yared
The Art of Racing in the Rain,33766787,Twentieth Century Fox,2765.0,18000000.0,PG,145,2019,109.0,"Comedy,Drama,Romance",7.5,32980,9,producer,Tania Landau
Uncut Gems,50023780,A24,5.0,19000000.0,R,385,2019,135.0,"Crime,Drama,Thriller",7.4,287527,9,producer,Eli Bush
Bohemian Rhapsody,903655259,Twentieth Century Fox,4000.0,52000000.0,PG-13,425,2018,134.0,"Biography,Drama,Music",7.9,544908,9,producer,Graham King
21 Bridges,49939757,STX Entertainment,2665.0,33000000.0,R,406,2019,99.0,"Action,Crime,Drama",6.6,69005,9,producer,Mike Larocca
Vice,76073488,Annapurna Pictures,2442.0,76073488.0,R,372,2018,132.0,"Biography,Comedy,Drama",7.2,150521,9,producer,Kevin J. Messick
Midsommar,47863365,A24,2707.0,9000000.0,R,182,2019,148.0,"Drama,Horror,Mystery",7.1,332595,9,cinematographer,Pawel Pogorzelski
Ready or Not,57615777,Fox Searchlight,2855.0,6000000.0,R,133,2020,95.0,Documentary,7.1,13,4,editor,David Bartner
Happy Death Day 2U,64600152,Universal Pictures,3207.0,9000000.0,PG-13,324,2019,100.0,"Comedy,Horror,Mystery",6.2,76907,9,cinematographer,Toby Oliver
Child's Play,44907074,United Artists Releasing,3007.0,10000000.0,R,194,2019,90.0,"Drama,Horror,Sci-Fi",5.7,53176,9,writer,Tom Holland
Spies in Disguise,171616764,Twentieth Century Fox,3502.0,100000000.0,PG,373,2019,102.0,"Action,Adventure,Animation",6.8,50890,9,writer,Brad Copeland
Doctor Sleep,72381712,Warner Bros.,3855.0,45000000.0,R,420,2019,152.0,"Drama,Fantasy,Horror",7.3,196959,9,composer,The Newton Brothers
Overcomer,38026103,Affirm Films,1723.0,5000000.0,PG,133,2019,119.0,"Drama,Family,Sport",6.6,5135,9,cinematographer,Bob Scott
Last Christmas,123446172,Universal Pictures,3448.0,25000000.0,PG-13,420,2019,103.0,"Comedy,Drama,Fantasy",6.5,82732,9,producer,Jessie Henderson
Cold Pursuit,76419755,Lionsgate,2630.0,60000000.0,R,327,2019,119.0,"Action,Comedy,Crime",6.2,71081,9,producer,Stein B. Kvae
The Hustle,97409779,United Artists Releasing,3007.0,21000000.0,PG-13,236,2019,93.0,"Comedy,Crime",5.4,61270,9,writer,Jac Schaeffer
The Intruder,36599361,Screen Gems,2222.0,8000000.0,PG-13,243,2019,102.0,"Horror,Thriller",5.6,18473,9,producer,Brad Kaplan
Crawl,91542097,Paramount Pictures,3170.0,13500000.0,R,173,2019,87.0,"Action,Adventure,Horror",6.1,86268,9,producer,Sam Raimi
The Mule,174804407,Warner Bros.,2588.0,50000000.0,R,383,2018,116.0,"Crime,Drama,Thriller",7.0,140088,9,producer,Tim Moore
Queen & Slim,47861400,Universal Pictures,1690.0,18000000.0,R,401,2019,132.0,"Crime,Drama,Romance",7.1,32407,9,producer,Andrew Coles
Little,48987096,Universal Pictures,2667.0,20000000.0,PG-13,266,2019,109.0,"Comedy,Fantasy,Romance",5.5,13774,9,producer,Will Packer
Breakthrough,50444358,Twentieth Century Fox,2824.0,14000000.0,PG,259,2019,116.0,"Biography,Drama",6.2,10203,9,composer,Marcelo Zarvos
Long Shot,53873809,Lionsgate,3230.0,40000000.0,R,243,2019,125.0,"Comedy,Romance",6.8,113074,9,producer,Evan Goldberg
Little Women,218843645,Sony Pictures Entertainment (SPE),3308.0,40000000.0,PG,373,2018,112.0,"Drama,Family",5.3,1337,9,producer,Stephen Shimek
The Angry Birds Movie 2,147792047,Sony Pictures Entertainment (SPE),3869.0,65000000.0,PG,143,2019,97.0,"Action,Adventure,Animation",6.4,30861,9,writer,Jonathon E. Stewart
A Dog's Way Home,80708134,Sony Pictures Entertainment (SPE),3090.0,18000000.0,PG,355,2019,96.0,"Adventure,Drama,Family",6.7,18663,9,composer,Mychael Danna
Harriet,43347017,Focus Features,2059.0,17000000.0,PG-13,427,2019,125.0,"Action,Biography,Drama",6.7,27907,9,composer,Terence Blanchard
Playing with Fire,69412425,Paramount Pictures,3125.0,29900000.0,PG,420,2019,96.0,"Comedy,Family",5.1,15112,9,producer,Sean Robins
Rambo: Last Blood,91490353,Lionsgate,3618.0,50000000.0,R,105,2019,89.0,"Action,Crime,Thriller",6.1,100774,9,producer,Avi Lerner
Wonder Park,119559110,Paramount Pictures,3838.0,90000000.0,PG,292,2019,85.0,"Adventure,Animation,Comedy",5.8,12148,9,producer,Kendra Haaland
Ma,61220784,Universal Pictures,2808.0,5000000.0,R,217,2019,99.0,"Horror,Mystery,Thriller",5.6,54737,9,composer,Gregory Tripi
Five Feet Apart,92554209,Lionsgate,2803.0,7000000.0,PG-13,292,2019,116.0,"Drama,Romance",7.2,70037,9,composer,Brian Tyler
Gemini Man,173469516,Paramount Pictures,3642.0,138000000.0,PG-13,84,2019,117.0,"Action,Adventure,Sci-Fi",5.7,115158,9,producer,Jerry Bruckheimer
Isn't It Romantic,48791187,Warner Bros.,3444.0,31000000.0,PG-13,322,2019,89.0,"Comedy,Fantasy,Musical",5.9,71004,9,producer,Todd Garner
What Men Want,72216294,Paramount Pictures,2912.0,20000000.0,R,327,2019,117.0,"Comedy,Fantasy,Romance",5.3,28536,9,writer,Jas Waters
Pet Sematary,113118226,Paramount Pictures,3585.0,21000000.0,R,271,2019,101.0,"Horror,Mystery,Thriller",5.7,93512,9,writer,Jeff Buhler
Green Book,321752656,Universal Pictures,25.0,23000000.0,PG-13,411,2018,130.0,"Biography,Comedy,Drama",8.2,499302,9,producer,Charles B. Wessler
Midway,127420861,Lionsgate,3242.0,100000000.0,PG-13,420,2019,138.0,"Action,Drama,History",6.7,87540,9,cinematographer,Robby Baumgartner
The Curse of La Llorona,123133739,Warner Bros.,3372.0,9000000.0,R,257,2019,93.0,"Horror,Mystery,Thriller",5.2,51779,9,producer,Emile Gladstone
Bumblebee,467989645,Paramount Pictures,3550.0,135000000.0,PG-13,376,2018,114.0,"Action,Adventure,Sci-Fi",6.7,169224,9,producer,Lorenzo di Bonaventura
Escape Room,155712077,Sony Pictures Entertainment (SPE),2717.0,9000000.0,PG-13,362,2019,99.0,"Action,Adventure,Horror",6.4,125721,9,producer,Neal H. Moritz
Dora and the Lost City of Gold,120597108,Paramount Pictures,3735.0,49000000.0,PG,145,2019,102.0,"Action,Adventure,Comedy",6.1,31726,9,writer,Chris Gifford
A Beautiful Day in the Neighborhood,67925733,Sony Pictures Entertainment (SPE),3235.0,25000000.0,PG,406,2019,109.0,"Biography,Drama",7.2,82105,9,writer,Fred Rogers
Abominable,188623517,Universal Pictures,4242.0,75000000.0,PG,462,2019,97.0,"Adventure,Animation,Comedy",7.0,39707,9,composer,Rupert Gregson-Williams
Terminator: Dark Fate,261119292,Paramount Pictures,4086.0,185000000.0,R,63,2019,128.0,"Action,Adventure,Sci-Fi",6.2,180772,9,writer,James Cameron
Scary Stories to Tell in the Dark,104545505,Lionsgate,3135.0,25000000.0,PG-13,145,2019,108.0,"Adventure,Horror,Mystery",6.2,78583,9,writer,Patrick Melton
Mary Poppins Returns,349537494,Walt Disney Studios Motion Pictures,4090.0,130000000.0,PG,378,2018,130.0,"Adventure,Comedy,Family",6.7,89874,9,producer,Marc Platt
Angel Has Fallen,146661977,Lionsgate,3286.0,40000000.0,R,131,2019,121.0,"Action,Thriller",6.4,100185,9,writer,Katrin Benedikt
A Madea Family Funeral,74747725,Lionsgate,2442.0,20000000.0,PG-13,306,2019,109.0,"Comedy,Drama",4.6,4660,9,cinematographer,Richard J. Vialet
Zombieland: Double Tap,122810399,Sony Pictures Entertainment (SPE),3468.0,42000000.0,R,441,2019,99.0,"Action,Comedy,Horror",6.7,183392,9,producer,Gavin Polone
Yesterday,154608668,Universal Pictures,2603.0,26000000.0,PG-13,187,2018,116.0,Drama,6.7,10,6,composer,B.K. Jr.
Annabelle Comes Home,231252591,Warner Bros.,3613.0,30000000.0,R,189,2019,106.0,"Horror,Mystery,Thriller",5.9,77810,9,cinematographer,Michael Burgess
Men in Black: International,253890701,Sony Pictures Entertainment (SPE),4224.0,110000000.0,PG-13,201,2019,114.0,"Action,Adventure,Comedy",5.6,136929,9,producer,Laurie MacDonald
Good Boys,111173598,Universal Pictures,3204.0,20000000.0,R,140,2019,90.0,"Adventure,Comedy",6.7,75644,9,producer,James Weaver
Spider-Man: Into the Spider-Verse,375540831,Sony Pictures Entertainment (SPE),3813.0,384256930.0,PG,383,2018,117.0,"Action,Adventure,Animation",8.4,537581,9,producer,Avi Arad
Alita: Battle Angel,404980543,Twentieth Century Fox,3790.0,170000000.0,PG-13,687,2019,122.0,"Action,Adventure,Sci-Fi",7.3,272851,9,producer,Jon Landau
The Addams Family,1349278,United Artists Releasing,1307.0,24000000.0,PG,77,2019,86.0,"Animation,Comedy,Family",5.8,41629,9,writer,Charles Addams
The Lego Movie 2: The Second Part,192306508,Warner Bros.,4303.0,99000000.0,PG,327,2019,107.0,"Action,Adventure,Animation",6.6,68668,9,writer,Jerry Siegel
Hustlers,157563598,STX Entertainment,3250.0,20000000.0,R,476,2019,110.0,"Comedy,Crime,Drama",6.3,101996,9,producer,Elaine Goldsmith-Thomas
Rocketman,195320400,Paramount Pictures,3610.0,40000000.0,R,215,2019,94.0,"Adventure,Comedy,Documentary",6.2,213,6,director,Michael Linn
Ford v Ferrari,225508210,Twentieth Century Fox,3528.0,97600000.0,PG-13,413,2019,152.0,"Action,Biography,Drama",8.1,400849,9,producer,Peter Chernin
Downton Abbey,194694725,Focus Features,3079.0,13000000.0,PG,105,2019,122.0,"Drama,Romance",7.4,57943,9,composer,John Lunn
Godzilla: King of the Monsters,386600138,Warner Bros.,4108.0,170000000.0,PG-13,215,2019,132.0,"Action,Adventure,Fantasy",6.0,186069,9,producer,Jon Jashni
Glass,246999039,Universal Pictures,3841.0,20000000.0,PG-13,350,2019,129.0,"Drama,Horror,Sci-Fi",6.6,247445,9,composer,West Dylan Thordson
Aquaman,1148461807,Warner Bros.,4125.0,1148528393.0,PG-13,376,2018,143.0,"Action,Adventure,Fantasy",6.8,479959,9,writer,Paul Norris
Maleficent: Mistress of Evil,491730089,Walt Disney Studios Motion Pictures,3790.0,185000000.0,PG,441,2019,119.0,"Adventure,Family,Fantasy",6.6,107822,9,writer,Charles Perrault
Knives Out,312897920,Lionsgate,3461.0,40000000.0,PG-13,401,2019,130.0,"Comedy,Crime,Drama",7.9,695217,9,editor,Bob Ducsay
Shazam!,365971656,Warner Bros.,4217.0,100000000.0,PG-13,271,2019,132.0,"Action,Adventure,Comedy",7.0,344129,9,writer,C.C. Beck
Dumbo,353284621,Walt Disney Studios Motion Pictures,4259.0,170000000.0,PG,278,2019,112.0,"Adventure,Family,Fantasy",6.3,77647,9,producer,Katterli Frauenfelder
The Secret Life of Pets 2,431058415,Universal Pictures,4561.0,80000000.0,PG,210,2019,86.0,"Adventure,Animation,Comedy",6.4,63712,9,writer,Cinco Paul
Fast & Furious Presents: Hobbs & Shaw,760732926,Universal Pictures,4253.0,200000000.0,R,154,2019,137.0,"Action,Adventure,Thriller",6.5,216154,9,producer,Hiram Garcia
John Wick: Chapter 3 - Parabellum,327777335,Lionsgate,3850.0,75000000.0,R,229,2019,130.0,"Action,Crime,Thriller",7.4,350579,9,writer,Marc Abrams
How to Train Your Dragon: The Hidden World,521799505,Universal Pictures,4259.0,129000000.0,PG,313,2019,104.0,"Action,Adventure,Animation",7.4,132505,9,composer,John Powell
Once Upon a Time in Hollywood,377426903,Sony Pictures Entertainment (SPE),3659.0,90000000.0,R,525,2019,161.0,"Comedy,Drama",7.6,750251,9,editor,Fred Raskin
Us,256022707,Universal Pictures,3741.0,20000000.0,R,287,2019,116.0,"Horror,Mystery,Thriller",6.8,305574,9,composer,Michael Abels
It Chapter Two,473093228,Warner Bros.,4570.0,79000000.0,R,119,2019,169.0,"Drama,Fantasy,Horror",6.5,270891,9,producer,Dan Lin
Joker,1074251311,Warner Bros.,4374.0,55000000.0,R,455,2019,122.0,"Crime,Drama,Thriller",8.4,1301711,9,writer,Jerry Robinson
Aladdin,1050693953,Walt Disney Studios Motion Pictures,4476.0,183000000.0,PG,222,2020,104.0,"Drama,Musical,Romance",4.4,40,9,composer,Paul Vician
Spider-Man: Far from Home,1131927996,Sony Pictures Entertainment (SPE),4634.0,160000000.0,PG-13,183,2019,129.0,"Action,Adventure,Sci-Fi",7.4,499608,9,writer,Steve Ditko
Jumanji: The Next Level,801693929,Sony Pictures Entertainment (SPE),4227.0,125000000.0,PG-13,385,2019,123.0,"Action,Adventure,Comedy",6.7,255602,9,producer,Dany Garcia
"Juliet, Naked",4511157,Roadside Attractions,4.0,4511157.0,R,137,2018,97.0,"Comedy,Drama,Music",6.6,23264,9,writer,Nick Hornby
